Title	Assignees	Status	Priority	Estimate	Size	Iteration
meeting with Datev to understand better about the technology		Done				
everybody have the access to the research material		Done				
SM to check with the other two absent developers		Done				
Gaia-X better understanding		Done				
Consider re-schedule meeting with Datev		Done				
define pushing convention when merging to main branch		Done				
SDs to split into frontend and backend teams		Done				
Continue creating managable product backlog		In Progress				
POs to have meeting with developers before each sprint to prioritize tasks on sprint backlog		In Progress				
creating list for backlogs both from POs and SDs.		In Progress				
follow the pushing convention when merging to main branch		In Progress				
Improve communication efficacy with industry partner		In Progress				
SDs to meet regularly at a fixed time slot weekly		In Progress				
POs to set priorities for issues (must-have, nice to have)		In Progress				
POs, SDs, Crunch time to complete features		In Progress				
SDs (POs) Hackathon Day		Todo				
